,actual,XGCensus,XGCombined
329,5.659482215759621,5.5347037,5.214224
330,5.783825182329737,5.134785,5.0876694
331,2.772588722239781,3.494398,3.728884
332,6.025865973825314,5.204483,4.773813
333,5.560681631015528,4.78765,4.776685
334,4.700480365792417,4.8568316,5.100019
335,6.3473892096560105,6.183834,6.0263963
336,4.727387818712341,4.352696,4.2349224
337,3.367295829986474,3.2698996,3.3624876
338,4.1588830833596715,4.0928054,4.3564606
339,5.902633333401366,6.010863,5.309136
340,2.5649493574615367,1.4838852,1.90279
341,7.411556287811163,6.4716563,5.6987815
342,6.300785794663244,5.6305385,5.3814487
343,3.7612001156935624,3.816571,3.6895611
344,4.727387818712341,4.103382,3.64963
345,4.9344739331306915,4.6223955,4.778769
346,5.220355825078324,4.0272565,3.6737068
347,5.25227342804663,4.8077917,4.581628
348,3.044522437723423,4.301641,4.493864
349,3.1354942159291497,2.6808412,2.8517735
350,4.787491742782046,5.113697,4.9681377
351,6.253828811575473,5.263914,5.5858126
352,3.9318256327243257,3.469129,3.7529278
353,0.0,1.3289816,2.4177167
354,3.58351893845611,3.5617425,3.874983
355,0.0,1.3164896,1.2235461
356,5.739792912179234,4.7932887,4.972491
357,4.127134385045092,3.993319,4.076852
358,5.780743515792329,5.391418,5.409425
359,4.976733742420574,5.097091,5.03028
360,3.295836866004329,3.8649564,3.955077
361,3.6635616461296463,3.8544466,4.0386477
362,3.4339872044851463,4.0494246,4.0256624
363,5.877735781779639,5.8159385,5.9343853
364,4.787491742782046,4.1498446,4.332654
365,4.709530201312334,4.90547,4.742125
366,7.580699752224563,7.1541114,6.1976757
367,0.0,1.5755323,2.5636048
368,4.859812404361672,4.869995,5.0441837
369,1.9459101490553132,2.644273,3.1089299
370,0.0,2.202535,2.7230818
371,2.3978952727983707,2.9200006,3.6631668
372,3.8501476017100584,3.9464462,4.400715
373,1.9459101490553132,3.1941416,3.9186738
374,7.616775808698373,7.6626368,7.425942
375,2.302585092994046,2.8447397,3.189433
376,8.579980179515003,8.631519,8.553314
377,5.820082930352362,5.5872574,5.1415176
378,1.3862943611198906,2.7158737,3.8227868
379,8.62191350218664,7.9585466,7.4191446
380,5.25227342804663,5.0233054,4.627302
381,3.9889840465642745,4.0791903,4.2021046
382,7.07326971745971,6.4027543,5.705583
383,5.805134968916488,5.2241077,5.3431873
384,3.9318256327243257,3.2819722,2.9985445
385,3.713572066704308,3.5477464,3.2956412
386,0.6931471805599453,1.8236779,1.4433193
387,3.258096538021482,3.657404,4.9887295
388,5.0369526024136295,4.0604463,4.2177763
389,4.04305126783455,4.356959,3.9809957
390,5.796057750765372,4.4278736,4.5435987
391,6.740519359606223,6.6075287,6.547283
392,4.477336814478207,4.375919,4.132188
393,1.3862943611198906,3.4412673,4.763273
394,7.793174347189205,7.522048,7.082655
395,5.0238805208462765,5.4707537,5.3974185
396,3.5553480614894135,4.112187,4.127878
397,3.4965075614664802,3.4336653,3.2350314
398,0.0,1.4352583,2.2847679
399,6.29156913955832,5.3277173,5.5941725
400,6.548219102762372,5.5702367,5.756099
401,3.8066624897703196,3.602432,3.5690634
402,3.9512437185814275,5.298893,5.0622573
403,5.049856007249537,5.464182,5.4635544
404,3.58351893845611,3.3823671,3.340875
405,4.624972813284271,4.6019416,4.345395
406,5.771441123130016,4.518998,4.6284
407,5.877735781779639,6.208828,5.163861
408,3.091042453358316,4.0004883,4.3147235
409,4.51085950651685,3.5600722,3.1164339
410,5.075173815233827,5.5530005,5.9465947
411,0.0,0.10800889,1.8843844
412,2.3978952727983707,2.712698,2.6384869
413,6.349138991379798,5.097641,4.9384294
414,0.6931471805599453,1.3585941,1.8900512
415,6.452048954437226,6.3166337,6.0010443
416,5.648974238161206,4.668989,4.908367
417,6.113682179832232,5.747589,5.59502
418,6.184148890937483,3.9881961,4.3416986
